0                   Alaska
1                  Alabama
2                 Arkansas
3                  Arizona
4               California
5                 Colorado
6              Connecticut
7     District of Columbia
8                 Delaware
9                  Florida
10                 Georgia
11                  Hawaii
12                    Iowa
13                   Idaho
14                Illinois
15                 Indiana
16                  Kansas
17                Kentucky
18               Louisiana
19           Massachusetts
20                Maryland
21                   Maine
22                Michigan
23               Minnesota
24                Missouri
25             Mississippi
26                 Montana
27          North Carolina
28            North Dakota
29                Nebraska
30           New Hampshire
31              New Jersey
32              New Mexico
33                  Nevada
34                New York
35                    Ohio
36                Oklahoma
37                  Oregon
38            Pennsylvania
39             Puerto Rico
40            Rhode Island
41          South Carolina
42            South Dakota
43               Tennessee
44                   Texas
45                    Utah
46                Virginia
47                 Vermont
48              Washington
49               Wisconsin
50           West Virginia
51                 Wyoming
Name: usa_state, dtype: object
