,Dis No,Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Location,Origin,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
2141,2014-0100-USA,2014,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Tennessee, New York, New Jersey, Pennsylvania provinces",,,,2014,2,28,2014,3,4,12
2142,2014-0095-USA,2014,Hydrological,Landslide,Landslide,,"Oso village (Snohomish district, Washington province)",Heavy rains and small earthquake,,,2014,3,22,2014,3,22,43
2143,2014-0009-USA,2014,Meteorological,Extreme temperature,Cold wave,,"New York, Minnesota, Georgia, Maryland, Alaska, Alabama, Mississippi, Louisiana, North Carolina, South Carolina, Ohio, Indiana, Illinois, Pennsylvania, Michigan, New Jersey, Virginia, Kentucky, Missouri provinces",,,,2014,1,5,2014,1,8,21
2144,2014-9023-USA,2014,Climatological,Drought,Drought,,San Joaquin district (California province),,,,2014,1,,2014,12,,
2278,2003-0830-USA,2003,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Arkansas, Texas provinces",,,,2003,2,26,2003,2,26,14
2279,2014-0482-USA,2014,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Los Angeles, San Diego districts (California province), Oregon province",,,,2014,12,10,2014,12,17,3
2280,2014-0263-USA,2014,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",,,,2014,7,26,2014,7,27,
2281,2014-0444-USA,2014,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",,,,2014,10,12,2014,10,14,2
2282,2014-0318-USA,2014,Geophysical,Earthquake,Ground movement,,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) ; Sonoma, Solano district (California province) ; Vallejo, Mare Island cities (Solano district, California province)",,38.2151667,-122.3123333,2014,8,24,2014,8,24,1
2283,2014-0491-USA,2014,Hydrological,Flood,Flash flood,,"Orange, Mariposa, Tuolumne, Los Angeles, San Francisco, Sacaramento districts (California province)","Heavy rains, strong storm system",,,2014,12,2,2014,12,5,
