,Dis No,Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Location,Origin,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
2549,2017-0336-USA,2017,Meteorological,Storm,Convective storm,Tornado,"Tulsa (Oklahoma); Texas, Louisiana, Kansas, Missouri",,,,2017,8,5,2017,8,8,
2550,2017-0542-USA,2017,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Georgia, North Carolina, Maryland, Virginia, New York, New Jersey, Massachusetts, Michigan, Texas, Mississippi, Missouri",,,,2017,12,31,2018,1,5,22
2551,2017-0062-USA,2017,Meteorological,Storm,Convective storm,,"Center and south of California (San Diego, Los Angeles, San Francisco, Sacramento)",,,,2017,2,16,2017,2,21,5
2552,2017-0234-USA,2017,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Colorado, Kansas, Illinois, Indiana, Texas (Gregg County, Tenneryville, Easton, Longview City), Oklahoma (Okfuskee), Missouri (Bates, Carthage, Laclede, Pulaski, Phelps, Dent, Texas Counties, Crawfordsville, Phillipsburg, Edgar Springs, Salem, Evening Shade, Palace, Big Piney), Arkansas, Ohio, Kentucky, Tennessee (Millington, Memphis, Knoxville), Virginia, Louisiana (Natchitoches, DeSoto, Caddo, Caldwell, Franklin, LaSalle, Winn, Rapides, Catahoula, Concordia Parishes, Goldonna), North Dakota, South Dakota, Minnesota, Iowa, Ohio, Pennsylvania, New York, North Carolina (Sampson County, Salemburg, Clinton), South Carolina, Georgia, New Mexico",,,,2017,6,25,2017,6,29,
2553,2017-0564-USA,2017,Meteorological,Storm,Convective storm,Tornado,"Texas (Justin in Denton, Collin, Rockwall, Lubbock counties, Seymour in Baylor, Dallas – Fort Worth metro area, Houston metro area), Oklahoma (El Reno in Canadian, Oklahoma city metro region, Caddo in Bryan, Cleveland South and East), Kansas (south), Kentucky, Tennessee, Mississippi, Alabama, Georgia, Indianapolis (Marion-IN)",,,,2017,3,25,2017,3,28,1
2554,2017-0362-USA,2017,Meteorological,Storm,Tropical cyclone,,"Eastern Texas (Rockport, Corpus Chrsti, Port Lavaca, Cypress area of Houston, Houston metro area, Beaumont, Port Arthur, Angelina, Aransas, Atascosa, Austin, Bastrop, Bee, Bexar, Brazoria, Brazos, Burleson, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Jackson, Jasper, Jefferson, Jim Wells, Karnes, Kerr, Kleberg, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Newton, Nueces, Orange, Polk, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson, San Augustine), Southwestern Louisiana (Acadia, Forrest, Iberia, Lafayette, Vernon, Beauregard, Calcasieu, Cameron (Hackberry), Jefferson Davis, Vermillion, Allen, Natchitoches, Rapides, Sabine)",,,,2017,8,25,2017,8,29,88
2555,2017-0070-USA,2017,Meteorological,Storm,Convective storm,Tornado,"Illinois, Missouri, Indiana, Arkansas, Kentucky, Tennessee, Ohio , Georgia, Iowa, North Carolina, Virginia, Alabama, South Carolina, West Virginia, Michigan states",,,,2017,2,27,2017,3,2,4
2556,2017-0203-USA,2017,Meteorological,Storm,Convective storm,Hail,"Colorado, New Mexico, Texas, Oklahoma",,,,2017,5,8,2017,5,11,
2557,2017-0563-USA,2017,Meteorological,Storm,Convective storm,Hail,"Missouri (Oak Grove in Jackson County, Clay and Clinton (Trimble, Plattsburg, Lathrop) counties), Iowa (Centerville in Appanoose county, Muscatine), Minnesota (Sherburne, Freeborn counties, Lake Ann in Carver county), Kansas (Wabaunsee, Pottawatomie and Butler counties), Wisconsin, Arkansas, Oklahoma, Illinois, Mississipi, Michigan, New-York, Pennsylvania, Massachussets, Ohio, Nebraska, Indiana",,,,2017,3,6,2017,3,9,2
2558,2017-0253-USA,2017,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Minnesota (Minneapolis – St. Paul, MN metro region-Twin Cities, Lac Qui Parle County, Montevideo (Chippewa), Slayton (Murray), St. Cloud (Stearns), Monticello (Wright), Coon Rapids (Anoka)), Wisconsin (St. Croix), Upper Peninsula (Michigan), North Dakota (Richardson, Stark County, Morton County, Milton and Langdon in Cavalier County), South Dakota (Deuel, Jerauld, Beadle, and Clark Counties)",,,,2017,6,9,2017,6,12,
2559,2017-0512-USA,2017,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Missouri, Indiana (Bedford in Lawrence, Muncie in Delaware, Salem in Washington, Blackford, Jay), Ohio (Celina in Mercer, Williamsfield in Ashtabula, Clyde in Sandusky, Bloomingville in Erie , Republic, West Lodi in Seneca, Galion in Crawford, Steuben, Norwalk, Fitchville, Wakeman in Huron, Nova and Hayesville in Ashland, South Vienna in Wayne, Calcutta in Columbiana, Clark), Pennsylvania (Erie in Erie), Illinois (Noble in Richland)",,,,2017,11,5,2017,11,6,
2560,2017-0381-USA,2017,Meteorological,Storm,Tropical cyclone,,"Keys islands, Monroe, South Florida, Jacksonville (Duval), Marco Island, Naples (Collier), Fort Lauderdale (Broward), Lakeland (Polk), Orlando (Orange), Clay (Florida), Savannah, Tybee Island (Chatham), Brunswick, St. Simons Island (Glynn), McIntosh, Camden (Georgia), Charleston, Folly Beach, the Isle of Palms, Sullivan’s Island (Charleston) Hilton Head, Beaufort, Edisto Beach (Colleton) (South Carolina)",,,,2017,9,10,2017,9,28,58
2564,2017-0108-USA,2017,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"South Carolina, Georgia",,,,2017,3,13,2017,3,15,11
2565,2017-0022-USA,2017,Meteorological,Storm,Convective storm,Severe storm,"Georgia (cook), Mississippi, Alabama, Louisiana, Florida states",,,,2017,1,18,2017,1,23,24
2566,2017-0282-USA,2017,Hydrological,Flood,Flash flood,,"Ellison Creek (Water wheel) Tonto National Forest (Gila, Arizona)",Thunderstorm,34.349,-111.264,2017,7,15,2017,7,15,10
2567,2017-0058-USA,2017,Hydrological,Flood,Riverine flood,,San Jose (North California),Heavy rains,,,2017,2,22,2017,2,22,
2568,2017-0383-USA,2017,Meteorological,Storm,Tropical cyclone,,"Jersey shore, Seaside Park, Point Pleasant Beach (Ocean), Long Branch (Monmouth) (New Jersey), Fernandina beach (Nassau-Florida)",,,,2017,9,26,2017,9,27,4
2569,2017-0410-USA,2017,Meteorological,Storm,Tropical cyclone,,"Mexico Gulf, Louisiania, Mississippi (coastal areas, Biloxi), Alabama (Dauphin Island, Autauga, Chilton, Lowndes Counties), Florida, South Carolina (Pickens, Laurens, Spartanburg, Newberry, Greenville, Union), North Carolina (Polk, Wilkes, Ashe )",,,,2017,10,7,2017,10,8,
2570,2017-0252-USA,2017,Climatological,Wildfire,Forest fire,,"Butte (Oroville), San Luis Obispo, Santa Barbara (California)",Weather,,,2017,7,6,2017,7,10,
2571,2017-0434-USA,2017,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,"Napa, Sonoma, Mendocino, Lake, Solano, Butte, Yuba, Nevada, Humboldt, Calavaras, Orange counties (California)",,,,2017,10,8,2017,10,20,30
2572,2017-9550-USA,2017,Climatological,Drought,Drought,,"Upper Midwest, Northern Rockies and parts of the West",,,,2017,3,,2017,9,,
2573,2017-0511-USA,2017,Climatological,Wildfire,,,"Ventura, Santa Barbara, Los Angeles, San Diego, Riverside counties (California)","Droght, winds",,,2017,12,4,2017,12,31,2
2578,2018-0111-USA,2018,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Massachusetts, New York, Virginia, Maryland",,,,2018,3,1,2018,3,3,9
2580,2018-0130-USA,2018,Hydrological,Flood,,,Kauai Isl. (Hawai),Torrential rains,,,2018,4,14,2018,4,15,
2581,2018-0146-USA,2018,Geophysical,Volcanic activity,Lava flow,,Hawaï,,,,2018,5,3,2018,5,30,
2582,2018-0258-USA,2018,Climatological,Wildfire,Forest fire,,"Shasta, Trinity, Mendocino, Lake, Colusa, and Glenn counties (California)",,,,2018,7,27,2018,8,31,14
2583,2018-0419-USA,2018,Hydrological,Flood,Riverine flood,,"Bastrop, Burnet, Colorado, Fayette, Hood, Jim Wells, Kerr, Kimble, La Salle, Live Oak, Llano, Mason, McMullen, Nueces, Real, San Patricio, Travis, and Williamson counties",Heavy rains,,,2018,10,15,2018,10,20,5
2584,2018-0045-USA,2018,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Plains, SouthEast, Midwest, NorthEast",,,,2018,1,14,2018,1,17,16
2585,2018-0457-USA,2018,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"New Mexico, Texas, Iowa, Minnesota, Kansas, Louisiana, Tennessee",,,,2018,12,26,2018,12,28,2
2586,2018-0342-USA,2018,Meteorological,Storm,Tropical cyclone,,"South and North Carolina, Virginia",,,,2018,9,12,2018,9,18,53
2587,2018-0010-USA,2018,Hydrological,Landslide,Mudslide,,"Santa Barbara County (Montecito and Carpinteria), Los Angeles County (Burbank), Ventura (California)",Heavy rains,,,2018,1,8,2018,1,14,21
2588,2018-0373-USA,2018,Meteorological,Storm,Tropical cyclone,,"Florida, Georgia, Alabama, North Carolina, Virginia, Maryland",,,,2018,10,10,2018,10,11,45
2590,2018-0279-USA,2018,Meteorological,Storm,Convective storm,Tornado,"Pella, Marshalltown (Iowa)",,,,2018,7,19,2018,7,22,18
2591,2018-0046-USA,2018,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Colorado, PLains and Midwest",,,,2018,1,21,2018,1,24,10
2592,2018-0331-USA,2018,Hydrological,Flood,Flash flood,,"Wisconsin, Iowa, Minnesota, Missouri, Illinois, Kentucky, Pennsylvania, Arkansas, Ohio, Indiana",Tropical Storm Gordon,,,2018,9,3,2018,9,11,2
2593,2018-0206-USA,2018,Meteorological,Storm,Convective storm,,"New York City, Washington DC, Baltimore, Maryland",,,,2018,5,12,2018,5,16,5
2594,2018-0170-USA,2018,Meteorological,Storm,Tropical cyclone,,Southeast,,,,2018,5,27,2018,5,30,5
2595,2018-0409-USA,2018,Climatological,Wildfire,Forest fire,,Butte county (North California),,,,2018,11,8,2018,11,16,88
2596,2018-9476-USA,2018,Climatological,Drought,Drought,,Nationwide,,,,2018,1,,2018,12,,
2597,2018-0468-USA,2018,Climatological,Wildfire,,,"Thousand Oaks, Oak Park, Westlake Village, Agoura Hills, West Hills, Simi Valley, Chatsworth, Bell Canyon, Hidden Hills, Malibu and Calabasas (California)",,,,2018,11,8,2018,11,21,2
2600,2019-0086-USA,2019,Hydrological,Flood,,,"Amador, Glenn, Lake, Mendocino, Sonoma, Humboldt counties (California)",Heavy rain,,,2019,2,25,2019,3,1,1
2601,2019-0045-USA,2019,Meteorological,Storm,Convective storm,Sand/Dust storm,Midwest and Northeast,,,,2019,1,18,2019,1,21,10
2602,2019-0090-USA,2019,Hydrological,Flood,,,Northern California,,,,2019,2,26,2019,3,4,1
2606,2019-0160-USA,2019,Meteorological,Storm,Convective storm,Tornado,"Robertson, Angelina, Houston and Cherokee Counties (Texas); Louisiana, Arkansas, Mississippi",,,,2019,4,12,2019,4,15,8
2607,2019-0250-USA,2019,Meteorological,Storm,Convective storm,Tornado,"Jefferson city, Golden (Barry county), Carl Junction (Jasper county), Missouri state",,,,2019,5,23,2019,5,31,3
2608,2019-0624-USA,2019,Meteorological,Storm,Convective storm,Severe storm,"Missouri, Nebraska, Indiana, Kansas, Louisiana, Mississippi, Alabama, Florida, Georgia",,,,2019,12,16,2019,12,18,18
2609,2019-0116-USA,2019,Hydrological,Flood,Riverine flood,,"Nebraska, Iowa, Wisconsin, Missouri, Kansas, Illinois, Minnesota, South Dakota",Fast snowmelt,,,2019,3,12,2019,3,28,5
2610,2019-0046-USA,2019,Meteorological,Storm,Convective storm,Winter storm/Blizzard,Upper midwest,,,,2019,1,29,2019,1,31,22
2611,2019-0593-USA,2019,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Pacific Northwest, Rockies, Northern Plains, Upper Midwest, and the Northeast",,,,2019,11,27,2019,12,3,10
2612,2019-0184-USA,2019,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Texas, Lousiana states",,,,2019,4,24,2019,4,26,5
2613,2019-0417-USA,2019,Meteorological,Storm,Tropical cyclone,,Texas,,,,2019,9,18,2019,9,24,5
2615,2019-0007-USA,2019,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Missouri, Illinois, Iowa, Kansas, Nebraska, Washington DC, Virginia, Colorado, North, South Carolina",,,,2019,1,11,2019,1,15,13
2618,2019-0081-USA,2019,Meteorological,Storm,Convective storm,Tornado,"Alabama, Georgia, South Carolina, Florida, Mississippi,",,,,2019,3,3,2019,3,4,28
2619,2019-0484-USA,2019,Meteorological,Storm,Convective storm,Severe storm,"Texas, Arkansas, Oklahoma, Missouri, Louisiana,Tennessee.",,,,2019,10,20,2019,10,21,4
2620,2019-0306-USA,2019,Geophysical,Earthquake,Ground movement,,Ridgecrest (Califronia),,35.77,-117.599,2019,7,5,2019,7,5,
2621,2019-0335-USA,2019,Meteorological,Storm,Tropical cyclone,,"Louisiana, Mississippi, Arkansas, Oklahoma, Great Lakes region",,,,2019,7,13,2019,7,15,1
2622,2019-0412-USA,2019,Meteorological,Storm,Tropical cyclone,,"Florida, Georgia, South Carolina, North Carolina, Virginia",,,,2019,9,4,2019,9,6,9
2623,2019-0513-USA,2019,Climatological,Wildfire,Forest fire,,Los Angeles and Riverside counties (California),,,,2019,10,10,2019,10,17,3
2624,2019-0517-USA,2019,Climatological,Wildfire,Forest fire,,"Los Angeles, San Bernardino, Ventura, Sonoma Counties (California)",,,,2019,10,26,2019,10,31,
2625,2019-0307-USA,2019,Hydrological,Flood,,,"Lincolnton region (Lincoln County, North Carolina)",Heavy rains,,,2019,6,6,2019,6,9,3
2650,2020-0148-USA,2020,Meteorological,Storm,Convective storm,Tornado,"Louisiana, Texas, Mississippi, South Carolina, Georgia, Tennessee, Arkansas, North Carolina, Alabama",,,,2020,4,10,2020,4,14,38
2651,2020-0011-USA,2020,Meteorological,Storm,Convective storm,Severe storm,"Texas, Oklahoma, Missouri, Arkansas, Louisiana, Mississippi, Alabama, Tennessee, Kentucky, Georgia states",,,,2020,1,10,2020,1,12,12
2656,2020-0082-USA,2020,Meteorological,Storm,Convective storm,Tornado,"Nashville (Tennessee), Kentucky, Missouri, Mississippi, Georgia, Texas",,,,2020,3,2,2020,3,5,25
2657,2020-0219-USA,2020,Meteorological,Storm,Tropical cyclone,,"errebonne, Plaquemines, Lafourche Parishes (Louisiana)",,,,2020,6,7,2020,6,7,1
