StateCode,Year,projectamount
LA,2019,77918216.59
LA,2020,624937118.4
MA,1999,3985824.02
MA,2001,27158718.26
MA,2003,37141185.55
MA,2004,45988761.03
MA,2005,80063241.32
MA,2006,24339138.53
MA,2007,10597440.78
MA,2009,66392160.35
MA,2010,34377022.82
MA,2011,182623303.1
MA,2012,107062490.2
MA,2013,95212186.54
MA,2015,111938264.3
MA,2018,83850590.2
MA,2020,9813567.27
MD,1999,6980036.4
MD,2000,14070902.27
MD,2002,5495055.75
MD,2003,77396818.39
MD,2005,1502419.68
MD,2006,10772033.21
MD,2010,112052563.5
MD,2011,48183653.07
MD,2012,59632421.6
MD,2014,11559750.73
MD,2016,102191304.2
MD,2018,29626802.78
MD,2020,26584217.07
ME,1999,1158135.22
ME,2000,2772301.51
ME,2001,5782913.37
ME,2003,2723398.97
ME,2004,7505432.89
ME,2005,21666341.57
ME,2006,5541213.89
ME,2007,37100827.32
ME,2008,7816290.58
ME,2009,16918553.22
ME,2010,8739976.53
ME,2011,4793547.2
ME,2013,4152643.16
ME,2015,3517145.78
ME,2018,17043831.77
ME,2020,577048.94
MI,1999,11527256.91
MI,2001,11746111.34
MI,2002,6307071.54
MI,2003,6304257.17
MI,2005,1997714.13
MI,2008,19359750.17
MI,2013,6447225.76
MI,2014,19253358.15
MI,2018,36310607.76
MI,2020,207460610.7
MN,1999,25051116.07
MN,2000,15059404.92
MN,2001,46607457.16
MN,2002,34221184.24
MN,2004,5174279.47
MN,2005,2391612.96
MN,2006,19555364.14
MN,2007,45060258.37
MN,2008,8433780.94
MN,2009,39920994.99
MN,2010,67405362.6
MN,2011,46137651.72
MN,2012,55720458.92
MN,2013,32824567.39
MN,2014,53771185.61
MN,2016,9277178.25
MN,2018,29105768.22
MN,2019,37870544.54
MN,2020,643935.06
MO,2000,3258549.56
MO,2002,102607475
MO,2003,25273328.17
MO,2005,1751641.33
MO,2006,52001046.28
MO,2007,189089596
MO,2008,96855607.35
MO,2009,217148290.4
MO,2010,23384592.3
MO,2011,272365989.9
MO,2013,35424607.99
MO,2014,7477228.37
MO,2015,67502086.24
MO,2016,44878609.02
MO,2017,109926119.7
MO,2019,66490524.05
MO,2020,20188537.06
MS,1999,8902795.06
MS,2001,36553233.16
MS,2002,35057405.38
